1 2 3 4 5 6
48126   48052   47657   47193   46607   45193
2547    2621    3016    3480    4066    5480
8328    3477    1554    1088    836     643
9772    9603    9195    8845    8506    7813
1195    1364    1772    2122    2461    3154
7901    3866    1827    1330    1062    775
45807   45791   45510   45250   44749   44077
4866    4882    5163    5423    5924    6596
2671    1081    432     217     127     82
9658    9456    9179    8932    8569    8115
1309    1511    1788    2035    2398    2852
5336    2530    1280    835     653     460
1 2 3 4 5 6
48204   48352   48111   47816   47432   46410
2469    2321    2562    2857    3241    4263
9665    3904    1743    1183    929     691
9872    9794    9501    9247    8950    8402
1095    1173    1466    1720    2017    2565
9418    4784    2320    1649    1313    954
45913   46212   46105   45970   45684   45246
4760    4461    4568    4703    4989    5427
3686    1491    584     293     189     120
9734    9618    9449    9268    9005    8634
1233    1349    1518    1699    1962    2333
7266    3694    1870    1269    1004    736
1 2 3 4 5 6
48241   48518   48338   48158   47903   47129
2432    2155    2335    2515    2770    3544
10726   4204    1890    1266    984     736
9918    9913    9679    9480    9258    8805
1049    1054    1288    1487    1709    2162
10790   5837    2986    2096    1627    1182
46018   46353   46422   46450   46314   46008
4655    4320    4251    4223    4359    4665
4541    1828    747     416     250     176
9697    9673    9551    9446    9223    8904
1270    1294    1416    1521    1744    2063
9198    5119    2739    1879    1468    1089
